PROVINCIENAAM,PLEEGGEMEENTE,PAALGEGEVENS,OMSCHRIJVING_FEITGROEP,INSTROOM,FLEX
Gelderland,Culemborg,3919 Culemborg N320 Provincialeweg Kruising Daam van Dijkweg,Verkeerslicht,71
Gelderland,Culemborg,3919 Culemborg N320 Provincialeweg Kruising Daam van Dijkweg,Snelheid,1176
Gelderland,Apeldoorn,3920 Apeldoorn Ravenweg kruising Arnhemseweg,Snelheid,164
Gelderland,Apeldoorn,3920 Apeldoorn Ravenweg kruising Arnhemseweg,Verkeerslicht,83
Gelderland,Harderwijk,4016 Harderwijk Lorentzstraat thv Voltastraat,Snelheid,3549
Groningen,Groningen,3103 Groningen Damsterdiep kruising Petrus Campersingel,Snelheid,14
Groningen,Groningen,3103 Groningen Damsterdiep kruising Petrus Campersingel,Verkeerslicht,281
Groningen,Groningen,3104 Groningen Europaweg kruising Damsterdiep,Verkeerslicht,102
Groningen,Groningen,3104 Groningen Europaweg kruising Damsterdiep,Snelheid,105
Groningen,Het Hogeland,3323 Het Hogeland N361 Provincialeweg kruising Torenweg richting Groningen,Verkeerslicht,21
Groningen,Het Hogeland,3323 Het Hogeland N361 Provincialeweg kruising Torenweg richting Groningen,Snelheid,141
Groningen,Groningen,3328 Groningen Europaweg thv Sontplein,Snelheid,9089
Groningen,Westerkwartier,3402 Westerkwartier N355 Groningerstraatweg kruising N388 Kievitsweg,Verkeerslicht,35
Groningen,Westerkwartier,3402 Westerkwartier N355 Groningerstraatweg kruising N388 Kievitsweg,Snelheid,25
Groningen,Westerkwartier,3403 Westerkwartier N355 Groningerstraatweg kruising Kievitsweg,Verkeerslicht,38
Groningen,Westerkwartier,3403 Westerkwartier N355 Groningerstraatweg kruising Kievitsweg,Snelheid,25
Groningen,Groningen,3404 Groningen N370 Friesestraatweg kruising Siersteenlaan,Snelheid,605
Groningen,Groningen,3404 Groningen N370 Friesestraatweg kruising Siersteenlaan,Verkeerslicht,71
Groningen,Groningen,3405 Groningen N370 Friesestraatweg kruising Pleiadenlaan,Verkeerslicht,68
Groningen,Groningen,3405 Groningen N370 Friesestraatweg kruising Pleiadenlaan,Snelheid,697
Groningen,Groningen,3756 Groningen Rijksstraatweg thv huisnummer 66,Snelheid,4270
Groningen,Westerkwartier,3757 Westerkwartier Auwemalaan thv kruising Oldenoert,Snelheid,2693
Groningen,Groningen,3801 Groningen Emmaviaduct richting Julianaplein,Snelheid,6001
Groningen,Groningen,3802 Groningen Emmaviaduct richting Centrum,Snelheid,1580
Groningen,Midden-Groningen,3803 Midden-Groningen N33 Rijksweg thv hmp 52.1,Snelheid,3484
Groningen,Midden-Groningen,3804 Midden-Groningen N33 Rijksweg thv kruising N387,Snelheid,2747
Groningen,Groningen,3805 Groningen N360 Rijksweg thv kruising Geweideweg,Snelheid,1213
Groningen,Groningen,3898 Groningen Sontweg kruising Europaweg,Verkeerslicht,1195
Groningen,Groningen,3898 Groningen Sontweg kruising Europaweg,Snelheid,88
Groningen,Westerkwartier,4017 Westerkwartier Lindensteinlaan kruising Oldenoert,Snelheid,118
Limburg,Weert,3007 Weert N292 Maaseikerweg thv hmp 4.5,Snelheid,527
Limburg,Sittard-Geleen,3022 Sittard-Geleen Doctor Nolenslaan thv perceel 115,Snelheid,3410
Limburg,Sittard-Geleen,3023 Sittard-Geleen Leyenbroekerweg thv perceel 108,Snelheid,1613
Limburg,Venlo,3042 Venlo Klagenfurtlaan thv lichtmast 2241,Snelheid,4081
Limburg,Venlo,3176 Venlo N556 Eindhovenseweg kruising Groot Bollerweg richting Venlo,Verkeerslicht,26
Limburg,Venlo,3176 Venlo N556 Eindhovenseweg kruising Groot Bollerweg richting Venlo,Snelheid,182
Limburg,Venlo,3177 Venlo N556 Eindhovenseweg kruising Groot Bollerweg richting A73,Snelheid,121
Limburg,Venlo,3177 Venlo N556 Eindhovenseweg kruising Groot Bollerweg richting A73,Verkeerslicht,112
Limburg,Peel en Maas,3178 Peel en Maas N273 Rijksweg kruising Lanterdweg,Snelheid,25
Limburg,Peel en Maas,3178 Peel en Maas N273 Rijksweg kruising Lanterdweg,Verkeerslicht,55
Limburg,Peel en Maas,3179 Peel en Maas N273 Rijksweg kruising Maasstraat,Snelheid,12
Limburg,Peel en Maas,3179 Peel en Maas N273 Rijksweg kruising Maasstraat,Verkeerslicht,40
Limburg,Leudal,3181 Leudal N273 Napoleonsweg Noord kruising Brugstraat,Snelheid,19
Limburg,Leudal,3181 Leudal N273 Napoleonsweg Noord kruising Brugstraat,Verkeerslicht,110
Limburg,Leudal,3182 Leudal N273 Napoleonsweg Zuid kruising Pater Jac. Schreursweg,Verkeerslicht,66
Limburg,Leudal,3182 Leudal N273 Napoleonsweg Zuid kruising Pater Jac. Schreursweg,Snelheid,14
Limburg,Maastricht,3186 Maastricht N278 Akersteenweg thv lichtmast 588,Verkeerslicht,55
Limburg,Maastricht,3186 Maastricht N278 Akersteenweg thv lichtmast 588,Snelheid,1259
Limburg,Maastricht,3187 Maastricht N278 Akersteenweg kruising Burg. Kessensingel richting Centrum,Verkeerslicht,299
Limburg,Maastricht,3187 Maastricht N278 Akersteenweg kruising Burg. Kessensingel richting Centrum,Snelheid,544
Limburg,Sittard-Geleen,3189 Sittard-Geleen Doctor Nolenslaan kruising Nusterweg,Verkeerslicht,69
Limburg,Sittard-Geleen,3189 Sittard-Geleen Doctor Nolenslaan kruising Nusterweg,Snelheid,1694
Limburg,Beekdaelen,3190 Beekdaelen N276 Provincialeweg Noord kruising Provincialeweg thv hmp 9.1,Snelheid,51
Limburg,Beekdaelen,3190 Beekdaelen N276 Provincialeweg Noord kruising Provincialeweg thv hmp 9.1,Verkeerslicht,37
Limburg,Beekdaelen,3191 Beekdaelen N276 Provincialeweg Noord kruising Provincialeweg thv hmp 9.2,Verkeerslicht,161
Limburg,Beekdaelen,3191 Beekdaelen N276 Provincialeweg Noord kruising Provincialeweg thv hmp 9.2,Snelheid,136
Limburg,Sittard-Geleen,3192 Sittard-Geleen N294 Urmonderbaan kruising Mauritsweg richting Sittard,Verkeerslicht,37
Limburg,Sittard-Geleen,3192 Sittard-Geleen N294 Urmonderbaan kruising Mauritsweg richting Sittard,Snelheid,81
Limburg,Sittard-Geleen,3193 Sittard-Geleen N294 Urmonderbaan kruising Mauritsweg richting Urmond,Verkeerslicht,34
Limburg,Sittard-Geleen,3193 Sittard-Geleen N294 Urmonderbaan kruising Mauritsweg richting Urmond,Snelheid,93
Limburg,Roermond,3524 Roermond N271 Rijksweg Noord kruising Molenweg,Verkeerslicht,81
